ID,Price
1,79.44
2,98.80
3,45.75
4,80.67
5,32.81
6,88.27
7,85.22
8,61.56
9,12.83
10,79.27
11,13.47
12,32.57
13,41.80
14,68.43
15,30.38
16,39.78
17,19.99
18,43.95
19,90.84
20,60.45
21,41.34
22,29.71
23,40.92
24,14.96
25,10.00
26,37.52
27,99.17
28,72.56
29,86.38
30,26.50
31,80.42
32,64.87
33,13.92
34,72.51
35,48.82
36,24.21
37,94.84
38,33.29
39, 1.12
40,97.84
41,36.26
42,93.02
43,20.63
44, 3.79
45,33.14
46,81.01
47,85.31
48,49.07
49,55.28
50,90.58
51,10.72
52,75.32
53,92.71
54,31.30
55,28.13
56,46.61
57, 6.30
58, 8.14
59,15.74
60,62.61
61,27.99
62,78.37
63,46.48
64,69.88
65,75.53
66,18.27
67,82.08
68,38.16
69,50.28
70,38.10
71,10.73
72, 2.89
73,80.91
74,48.12
75, 1.78
76,34.66
77,42.59
78,85.46
79,74.87
80,49.23
81, 9.52
82,76.78
83,91.97
84,48.89
85,17.49
86,92.33
87,79.14
88,70.71
89,22.59
90,58.07
91,26.22
92,87.35
93,34.09
94,40.70
95,81.55
96,77.99
97,54.49
98,70.66
99,26.27
100,97.23
101, 8.32
102,56.03
103,96.70
104,36.90
105, 2.94
106,63.84
107,35.21
108,33.71
109,44.95
110, 5.60
111,28.15
112,65.27
113,49.64
114,89.91
115,59.95
116,79.88
117,59.46
118,62.78
119,43.96
120,44.65
121,61.86
122,47.00
123,96.22
124,37.39
125,56.93
126,91.06
127,36.42
128, 3.83
129,70.97
130,38.89
131,50.68
132,36.88
133, 6.92
134,52.56
135,26.29
136,68.93
137,32.85
138,52.41
139, 7.93
140,65.77
141,10.15
142,93.87
143, 6.53
144, 8.27
145,90.27
146,20.76
147,71.22
148,54.39
149,99.18
150,44.85
151,20.75
152,60.29
153,44.27
154,61.04
155,35.22
156,22.46
157,29.74
158,45.49
159,96.11
160,30.72
161,26.60
162,37.00
163,87.08
164,99.16
165,92.41
166,38.35
167,37.06
168,19.06
169,20.32
170,15.65
171, 4.54
172,94.87
173,71.37
174, 5.71
175,18.45
176,34.16
177,73.04
178,49.33
179,32.26
180,97.71
181,61.85
182,61.03
183, 7.55
184, 6.34
185,42.18
186,54.55
187,48.19
188,73.21
189,47.39
190,72.08
191,69.18
192,29.43
193,30.57
194,90.88
195,98.62
196,71.57
197,81.36
198,32.56
199,45.87
200,34.41
201,43.12
202, 8.77
203, 3.21
204,10.73
205,17.43
206,75.81
207,45.60
208,68.14
209,80.72
210,32.92
211,18.56
212,53.17
213,60.87
214,62.05
215,29.63
216,14.71
217,63.08
218,37.56
219,95.09
220,26.59
221,72.58
222,94.34
223,78.54
224,30.50
225,89.52
226,34.63
227,14.06
228,95.93
229, 1.43
230,69.33
231, 2.00
232,65.22
233,83.33
234,72.25
235,72.21
236,56.03
237,13.85
238,10.74
239,49.72
240, 1.96
241,52.90
242,57.22
243,72.97
244,11.13
245,46.78
246,20.52
247,27.75
248,54.56
249,47.18
250, 9.52
251,75.71
252,10.85
253, 9.36
254,28.64
255,10.11
256,63.30
257,30.88
258,39.87
259,24.29
260,56.02
261,69.87
262,21.29
263,67.17
264,95.20
265, 0.51
266,67.09
267,79.29
268,52.61
269,38.58
270, 3.56
271,33.66
272,44.39
273,48.05
274,53.26
275,64.93
276,50.17
277,27.43
278,88.33
279,63.16
280,77.82
281,37.48
282,23.84
283,53.32
284,64.64
285,54.39
286,57.62
287,69.15
288,19.22
289,30.02
290,81.12
291,82.70
292,95.80
293,86.31
294,72.07
295,90.07
296,14.45
297,76.14
298, 5.80
299,85.48
300,40.80
301,72.33
302,27.49
303,13.16
304,52.05
305,59.39
306,79.07
307,77.09
308,68.91
309,53.54
310,45.95
311,65.10
312,91.27
313,29.68
314,95.62
315,37.81
316,23.44
317,32.74
318,43.63
319,23.19
320,55.94
321,23.75
322,85.15
323,50.57
324,43.89
325,86.78
326,35.75
327,42.55
328,24.74
329,28.67
330, 2.41
331,21.28
332,80.42
333,86.98
334,49.64
335,64.52
336,24.29
337,73.28
338, 8.44
339,74.81
340,49.63
341,49.73
342,54.16
343,28.58
344, 8.37
345,66.01
346,20.37
347,71.57
348,77.10
349,75.28
350,32.89
351, 7.81
352,60.39
353,12.94
354,93.97
355,98.47
356,85.84
357,42.23
358,57.89
359,73.08
360,77.43
361,52.03
362,73.83
363,74.29
364,23.46
365, 5.23
366,78.97
367,28.35
368,64.63
369,76.19
370,18.85
371,42.64
372,69.34
373,16.42
374,83.16
375, 3.02
376,97.78
377,48.33
378,33.50
379,90.66
380,86.71
381,64.74
382,18.10
383,43.65
384,47.14
385,60.57
386,44.98
387,73.03
388,41.48
389,19.94
390,93.50
391,32.03
392,89.72
393,53.64
394, 7.14
395,53.06
396,58.91
397,48.73
398,12.01
399, 4.34
400,85.27
401,87.40
402,36.64
403,67.75
404,44.14
405,14.11
406,52.29
407,88.84
408,32.57
409,17.01
410,14.36
411,92.72
412,51.22
413,32.79
414,10.77
415,62.91
416,60.34
417,56.94
418,58.35
419,77.56
420,19.27
421,28.59
422,33.23
423,12.44
424,97.31
425,12.52
426,69.92
427,94.86
428,24.20
429,10.04
430,95.29
431,42.40
432,88.72
433,88.35
434,39.67
435,92.06
436,24.93
437,35.85
438,99.66
439,47.59
440,70.84
441,45.43
442,12.10
443,19.66
444, 5.08
445,47.97
446, 9.63
447,16.97
448,53.97
449,25.35
450,14.76
451,23.44
452, 2.96
453,45.21
454,58.61
455,18.52
456,92.24
457,76.05
458,63.74
459,99.13
460, 3.68
461,63.43
462,18.78
463,80.37
464,98.67
465,56.05
466,85.33
467,15.71
468, 8.33
469,95.20
470,66.68
471,19.62
472,64.36
473,26.26
474,21.86
475,81.34
476,30.95
477,15.26
478,54.49
479,90.59
480,16.75
481,76.37
482,55.73
483,80.40
484,49.47
485,91.15
486, 1.72
487, 9.98
488,36.68
489,82.41
490,75.84
491, 5.80
492,71.67
493, 3.53
494,23.84
495,13.61
496,48.01
497,11.72
498,21.14
499,14.39
500,27.24
